indexID,date,stockID,wgt
EI000905,2015/6/29,EQ000006,0.012028041
EI000905,2015/6/29,EQ000021,0.016331504
EI000905,2015/6/29,EQ000030,0.010562985
EI000905,2015/6/29,EQ000090,0.010429352
EI000905,2015/6/29,EQ000418,0.00689895
EI000905,2015/6/29,EQ000511,0.013301262
EI000905,2015/6/29,EQ000552,0.003824574
EI000905,2015/6/29,EQ000563,0.017891831
EI000905,2015/6/29,EQ000572,0.015432417
EI000905,2015/6/29,EQ000703,0.007005923
EI000905,2015/6/29,EQ000719,0.006710634
EI000905,2015/6/29,EQ000758,0.014791023
EI000905,2015/6/29,EQ000816,0.011693964
EI000905,2015/6/29,EQ000900,0.012065196
EI000905,2015/6/29,EQ000919,0.00575421
EI000905,2015/6/29,EQ000931,0.008747484
EI000905,2015/6/29,EQ000962,0.009040679
EI000905,2015/6/29,EQ000988,0.013764198
EI000905,2015/6/29,EQ002004,0.007470106
EI000905,2015/6/29,EQ002028,0.010103829
EI000905,2015/6/29,EQ002029,0.012333884
EI000905,2015/6/29,EQ002048,0.012682023
EI000905,2015/6/29,EQ002063,0.015312276
EI000905,2015/6/29,EQ002118,0.007464118
EI000905,2015/6/29,EQ002122,0.011562934
EI000905,2015/6/29,EQ002195,0.014479237
EI000905,2015/6/29,EQ002225,0.00763166
EI000905,2015/6/29,EQ002237,0.010817143
EI000905,2015/6/29,EQ002251,0.008080471
EI000905,2015/6/29,EQ002281,0.009583019
EI000905,2015/6/29,EQ002311,0.013755073
EI000905,2015/6/29,EQ002317,0.006356689
EI000905,2015/6/29,EQ002384,0.010944249
EI000905,2015/6/29,EQ002390,0.008976201
EI000905,2015/6/29,EQ002392,0.007510298
EI000905,2015/6/29,EQ002400,0.019630946
EI000905,2015/6/29,EQ002419,0.007893385
EI000905,2015/6/29,EQ002430,0.011405988
EI000905,2015/6/29,EQ002431,0.009749748
EI000905,2015/6/29,EQ002437,0.011041101
EI000905,2015/6/29,EQ002440,0.005793221
EI000905,2015/6/29,EQ002477,0.0091816
EI000905,2015/6/29,EQ002489,0.019401011
EI000905,2015/6/29,EQ002490,0.006351411
EI000905,2015/6/29,EQ002573,0.011618324
EI000905,2015/6/29,EQ002595,0.010432459
EI000905,2015/6/29,EQ002635,0.00731457
EI000905,2015/6/29,EQ002681,0.005880929
EI000905,2015/6/29,EQ300072,0.008182362
EI000905,2015/6/29,EQ300115,0.01400614
EI000905,2015/6/29,EQ600004,0.016577181
EI000905,2015/6/29,EQ600039,0.012122464
EI000905,2015/6/29,EQ600059,0.009250593
EI000905,2015/6/29,EQ600062,0.009484118
EI000905,2015/6/29,EQ600064,0.011009194
EI000905,2015/6/29,EQ600079,0.010600012
EI000905,2015/6/29,EQ600122,0.00911314
EI000905,2015/6/29,EQ600125,0.016956232
EI000905,2015/6/29,EQ600160,0.008276746
EI000905,2015/6/29,EQ600176,0.009101938
EI000905,2015/6/29,EQ600195,0.010699969
EI000905,2015/6/29,EQ600325,0.01084411
EI000905,2015/6/29,EQ600337,0.013724437
EI000905,2015/6/29,EQ600351,0.007167927
EI000905,2015/6/29,EQ600397,0.00546396
EI000905,2015/6/29,EQ600429,0.008454458
EI000905,2015/6/29,EQ600458,0.007497461
EI000905,2015/6/29,EQ600509,0.008389715
EI000905,2015/6/29,EQ600522,0.013533785
EI000905,2015/6/29,EQ600537,0.01011447
EI000905,2015/6/29,EQ600551,0.014436489
EI000905,2015/6/29,EQ600572,0.00976741
EI000905,2015/6/29,EQ600617,0.005016316
EI000905,2015/6/29,EQ600639,0.011547606
EI000905,2015/6/29,EQ600664,0.011852282
